REACTION       4  3761
NUCLIDE     3762  7271      
WORD        7272  8618
(11SN,X)            ({+11}Sn,X)
(11SN,XG)           ({+11}Sn,X|g)
(120SN,118SN)       ({+120}Sn,{+118}Sn)
(120SN,120SN)       ({+120}Sn,{+120}Sn)
(120SN,X)           ({+120}Sn,X)
(122SN,X)           ({+122}Sn,X)
(122SN,XN)          ({+122}Sn,xn)
(124SN,X)           ({+124}Sn,X)
(127I,4N)           ({+127}I,4n)
(127I,4NG)          ({+127}I,4n|g)
(127I,X)            ({+127}I,X)
(129XE,129XE')      ({+129}Xe,{+129}Xe')
(129XE,129XE)       ({+129}Xe,{+129}Xe)
(129XE,2N)          ({+129}Xe,2n)
(129XE,F)           ({+129}Xe,F)
(129XE,N)           ({+129}Xe,n)
(129XE,X)           ({+129}Xe,X)
(12C,10B)           ({+12}C,{+10}B)
(12C,10BE)          ({+12}C,{+10}Be)
(12C,10C)           ({+12}C,{+10}C)
(12C,11B)           ({+12}C,{+11}B)
(12C,11C)           ({+12}C,{+11}C)
(12C,11CG)          ({+12}C,{+11}C|g)
(12C,12B)           ({+12}C,{+12}B)
(12C,12C')          ({+12}C,{+12}C')
(12C,12C)           ({+12}C,{+12}C)
(12C,12CE-)         ({+12}C,{+12}Ce{+-})
(12C,12N)           ({+12}C,{+12}N)
(12C,13B)           ({+12}C,{+13}B)
(12C,13C)           ({+12}C,{+13}C)
(12C,13N)           ({+12}C,{+13}N)
(12C,14C)           ({+12}C,{+14}C)
(12C,14N)           ({+12}C,{+14}N)
(12C,14O)           ({+12}C,{+14}O)
(12C,15N)           ({+12}C,{+15}N)
(12C,16O)           ({+12}C,{+16}O)
(12C,20F)           ({+12}C,{+20}F)
(12C,2A)            ({+12}C,2|a)
(12C,2ANG)          ({+12}C,2|an|g)
(12C,2N)            ({+12}C,2n)
(12C,2N2P)          ({+12}C,2n2p)
(12C,2N2PG)         ({+12}C,2n2p|g)
(12C,2NA)           ({+12}C,2n|a)
(12C,2NG)           ({+12}C,2n|g)
(12C,2NP)           ({+12}C,2np)
(12C,2NPG)          ({+12}C,2np|g)
(12C,2P)            ({+12}C,2p)
(12C,2PA)           ({+12}C,2p|a)
(12C,2PG)           ({+12}C,2p|g)
(12C,2PN)           ({+12}C,2pn)
(12C,2PNG)          ({+12}C,2pn|g)
(12C,3A)            ({+12}C,3|a)
(12C,3HE)           ({+12}C,{+3}He)
(12C,3N)            ({+12}C,3n)
(12C,3NA)           ({+12}C,3n|a)
(12C,3NG)           ({+12}C,3n|g)
(12C,3P)            ({+12}C,3p)
(12C,4N)            ({+12}C,4n)
(12C,4NG)           ({+12}C,4n|g)
(12C,4NP)           ({+12}C,4np)
(12C,4NPG)          ({+12}C,4np|g)
(12C,4P)            ({+12}C,4p)
(12C,4P5N)          ({+12}C,4p5n)
(12C,4P5NG)         ({+12}C,4p5n|g)
(12C,5N)            ({+12}C,5n)
(12C,5NG)           ({+12}C,5n|g)
(12C,5NP)           ({+12}C,5np)
(12C,6HE)           ({+12}C,{+6}He)
(12C,6LI)           ({+12}C,{+6}Li)
(12C,6N)            ({+12}C,6n)
(12C,6NG)           ({+12}C,6n|g)
(12C,6NP)           ({+12}C,6np)
(12C,7BE)           ({+12}C,{+7}Be)
(12C,7LI)           ({+12}C,{+7}Li)
(12C,7N)            ({+12}C,7n)
(12C,7NG)           ({+12}C,7n|g)
(12C,8BE)           ({+12}C,{+8}Be)
(12C,8BE2N)         ({+12}C,{+8}Be2n)
(12C,8LI)           ({+12}C,{+8}Li)
(12C,8N)            ({+12}C,8n)
(12C,9BE)           ({+12}C,{+9}Be)
(12C,A)             ({+12}C,|a)
(12C,A2N)           ({+12}C,|a2n)
(12C,A2NG)          ({+12}C,|a2n|g)
(12C,A2P)           ({+12}C,|a2p)
(12C,A2PG)          ({+12}C,|a2p|g)
(12C,A3N)           ({+12}C,|a3n)
(12C,A3NG)          ({+12}C,|a3n|g)
(12C,A8BE)          ({+12}C,|a{+8}Be)
(12C,AN)            ({+12}C,|an)
(12C,ANG)           ({+12}C,|an|g)
(12C,AP)            ({+12}C,|ap)
(12C,AP2N)          ({+12}C,|ap2n)
(12C,APG)           ({+12}C,|ap|g)
(12C,APN)           ({+12}C,|apn)
(12C,APNG)          ({+12}C,|apn|g)
(12C,AY)            ({+12}C,|ay)
(12C,D)             ({+12}C,d)
(12C,F)             ({+12}C,F)
(12C,FG)            ({+12}C,F|g)
(12C,G)             ({+12}C,|g)
(12C,MU)            ({+12}C,|m)
(12C,N)             ({+12}C,n)
(12C,N2A)           ({+12}C,n2|a)
(12C,N2P)           ({+12}C,n2p)
(12C,N2PG)          ({+12}C,n2p|g)
(12C,N3P)           ({+12}C,n3p)
(12C,NA)            ({+12}C,n|a)
(12C,NAG)           ({+12}C,n|a|g)
(12C,NP)            ({+12}C,np)
(12C,NPA)           ({+12}C,np|a)
(12C,NPAG)          ({+12}C,np|a|g)
(12C,NPG)           ({+12}C,np|g)
(12C,P)             ({+12}C,p)
(12C,P2N)           ({+12}C,p2n)
(12C,P2NG)          ({+12}C,p2n|g)
(12C,P3N)           ({+12}C,p3n)
(12C,P3NG)          ({+12}C,p3n|g)
(12C,P4N)           ({+12}C,p4n)
(12C,P5N)           ({+12}C,p5n)
(12C,PA)            ({+12}C,p|a)
(12C,PAG)           ({+12}C,p|a|g)
(12C,PD)            ({+12}C,pd)
(12C,PG)            ({+12}C,p|g)
(12C,PI)            ({+12}C,|p)
(12C,PI+)           ({+12}C,|p{++})
(12C,PI-)           ({+12}C,|p{+-})
(12C,PI0)           ({+12}C,|p{+0})
(12C,PN)            ({+12}C,pn)
(12C,PNG)           ({+12}C,pn|g)
(12C,T)             ({+12}C,t)
(12C,X)             ({+12}C,X)
(12C,XA)            ({+12}C,x|a)
(12C,XF)            ({+12}C,xF)
(12C,XG)            ({+12}C,x|g)
(12C,XN)            ({+12}C,xn)
(12C,XN2A)          ({+12}C,xn2|a)
(12C,XN2P)          ({+12}C,xn2p)
(12C,XN8BE)         ({+12}C,xn{+8}Be)
(12C,XNA)           ({+12}C,xn|a)
(12C,XNG)           ({+12}C,xn|g)
(12C,XNP)           ({+12}C,xnp)
(12C,XNYA)          ({+12}C,xny|a)
(12C,XNYP)          ({+12}C,xnyp)
(12C,XNYPZA)        ({+12}C,xnypz|a)
(130TE,X)           ({+130}Te,X)
(132SN,X)           ({+132}Sn,X)
(132XE,132XE')      ({+132}Xe,{+132}Xe')
(132XE,132XE)       ({+132}Xe,{+132}Xe)
(132XE,2N)          ({+132}Xe,2n)
(132XE,F)           ({+132}Xe,F)
(132XE,N)           ({+132}Xe,n)
(132XE,P)           ({+132}Xe,p)
(132XE,X)           ({+132}Xe,X)
(132XE,XN)          ({+132}Xe,xn)
(136XE,134XEG)      ({+136}Xe,{+134}Xe|g)
(136XE,135XE)       ({+136}Xe,{+135}Xe)
(136XE,135XEG)      ({+136}Xe,{+135}Xe|g)
(136XE,136XE')      ({+136}Xe,{+136}Xe')
(136XE,136XE'G)     ({+136}Xe,{+136}Xe'|g)
(136XE,136XE)       ({+136}Xe,{+136}Xe)
(136XE,137CS)       ({+136}Xe,{+137}Cs)
(136XE,137CSG)      ({+136}Xe,{+137}Cs|g)
(136XE,137XEG)      ({+136}Xe,{+137}Xe|g)
(136XE,4N)          ({+136}Xe,4n)
(136XE,4NG)         ({+136}Xe,4n|g)
(136XE,6N)          ({+136}Xe,6n)
(136XE,6NG)         ({+136}Xe,6n|g)
(136XE,A7N)         ({+136}Xe,|a7n)
(136XE,F)           ({+136}Xe,F)
(136XE,X)           ({+136}Xe,X)
(136XE,XG)          ({+136}Xe,X|g)
(136XE,XN)          ({+136}Xe,xn)
(139LA,141PR)       ({+139}La,{+141}Pr)
(139LA,X)           ({+139}La,X)
(13C,10B)           ({+13}C,{+10}B)
(13C,11B)           ({+13}C,{+11}B)
(13C,11C)           ({+13}C,{+11}C)
(13C,12B)           ({+13}C,{+12}B)
(13C,12C)           ({+13}C,{+12}C)
(13C,12CG)          ({+13}C,{+12}C|g)
(13C,13C')          ({+13}C,{+13}C')
(13C,13C)           ({+13}C,{+13}C)
(13C,13N)           ({+13}C,{+13}N)
(13C,14C)           ({+13}C,{+14}C)
(13C,14N)           ({+13}C,{+14}N)
(13C,14O)           ({+13}C,{+14}O)
(13C,15O)           ({+13}C,{+15}O)
(13C,16O)           ({+13}C,{+16}O)
(13C,24MG)          ({+13}C,{+24}Mg)
(13C,2NP)           ({+13}C,2np)
(13C,2NPA)          ({+13}C,2np|a)
(13C,2NPG)          ({+13}C,2np|g)
(13C,2P2N)          ({+13}C,2p2n)
(13C,3A)            ({+13}C,3|a)
(13C,3N)            ({+13}C,3n)
(13C,3NG)           ({+13}C,3n|g)
(13C,3NP)           ({+13}C,3np)
(13C,3NPG)          ({+13}C,3np|g)
(13C,4N)            ({+13}C,4n)
(13C,4NG)           ({+13}C,4n|g)
(13C,4NP)           ({+13}C,4np)
(13C,4NPG)          ({+13}C,4np|g)
(13C,5N)            ({+13}C,5n)
(13C,5NG)           ({+13}C,5n|g)
(13C,6N)            ({+13}C,6n)
(13C,6NG)           ({+13}C,6n|g)
(13C,9BE)           ({+13}C,{+9}Be)
(13C,A)             ({+13}C,|a)
(13C,A2N)           ({+13}C,|a2n)
(13C,A2NG)          ({+13}C,|a2n|g)
(13C,A3N)           ({+13}C,|a3n)
(13C,A3NG)          ({+13}C,|a3n|g)
(13C,AG)            ({+13}C,|a|g)
(13C,AP)            ({+13}C,|ap)
(13C,AP2N)          ({+13}C,|ap2n)
(13C,APG)           ({+13}C,|ap|g)
(13C,APN)           ({+13}C,|apn)
(13C,APNG)          ({+13}C,|apn|g)
(13C,D)             ({+13}C,d)
(13C,N)             ({+13}C,n)
(13C,N12C)          ({+13}C,n{+12}C)
(13C,N2A)           ({+13}C,n2|a)
(13C,NA)            ({+13}C,n|a)
(13C,NP)            ({+13}C,np)
(13C,NP2A)          ({+13}C,np2|a)
(13C,P)             ({+13}C,p)
(13C,P2NG)          ({+13}C,p2n|g)
(13C,P3NG)          ({+13}C,p3n|g)
(13C,X)             ({+13}C,X)
(13C,XN)            ({+13}C,xn)
(13C,XNA)           ({+13}C,xn|a)
(13C,XNYPZA)        ({+13}C,xnypz|a)
(144PR,X)           ({+144}Pr,X)
(148ND,F)           ({+148}Nd,F)
(14C,11B)           ({+14}C,{+11}B)
(14C,11C)           ({+14}C,{+11}C)
(14C,12C)           ({+14}C,{+12}C)
(14C,13C)           ({+14}C,{+13}C)
(14C,14C')          ({+14}C,{+14}C')
(14C,14C)           ({+14}C,{+14}C)
(14C,14N)           ({+14}C,{+14}N)
(14C,14O)           ({+14}C,{+14}O)
(14C,15N)           ({+14}C,{+15}N)
(14C,15O)           ({+14}C,{+15}O)
(14C,16O)           ({+14}C,{+16}O)
(14C,16OG)          ({+14}C,{+16}O|g)
(14C,17O)           ({+14}C,{+17}O)
(14C,2N)            ({+14}C,2n)
(14C,2NG)           ({+14}C,2n|g)
(14C,3N)            ({+14}C,3n)
(14C,3NG)           ({+14}C,3n|g)
(14C,4N)            ({+14}C,4n)
(14C,4NG)           ({+14}C,4n|g)
(14C,5N)            ({+14}C,5n)
(14C,5NG)           ({+14}C,5n|g)
(14C,A2N)           ({+14}C,|a2n)
(14C,A2NG)          ({+14}C,|a2n|g)
(14C,A3NG)          ({+14}C,|a3n|g)
(14C,A5N)           ({+14}C,|a5n)
(14C,A5NG)          ({+14}C,|a5n|g)
(14C,AG)            ({+14}C,|a|g)
(14C,DG)            ({+14}C,d|g)
(14C,NA)            ({+14}C,n|a)
(14C,NAG)           ({+14}C,n|a|g)
(14C,P2N)           ({+14}C,p2n)
(14C,P2NG)          ({+14}C,p2n|g)
(14C,PG)            ({+14}C,p|g)
(14N,10B)           ({+14}N,{+10}B)
(14N,10BE)          ({+14}N,{+10}Be)
(14N,10N)           ({+14}N,10n)
(14N,10NP)          ({+14}N,10np)
(14N,11B)           ({+14}N,{+11}B)
(14N,11C)           ({+14}N,{+11}C)
(14N,12B)           ({+14}N,{+12}B)
(14N,12C)           ({+14}N,{+12}C)
(14N,12N)           ({+14}N,{+12}N)
(14N,13C)           ({+14}N,{+13}C)
