N    Z    A    Elt.   Mass                        
 19    8   27 O      27047955#        537#
 18    9   27 F      27026981.897     129.037
 17   10   27 Ne     27007569.462      97.445
 16   11   27 Na     26994076.408       4.000
 15   12   27 Mg     26984340.647       0.050
 14   13   27 Al     26981538.408       0.050
 13   14   27 Si     26986704.687       0.115
 12   15   27 P      26999292.499       9.662
 11   16   27 S      27018777#        430#
 20    8   28 O      28055910#        750#
 19    9   28 F      28035860.448     129.198
 18   10   28 Ne     28012130.767     135.339
 17   11   28 Na     27998939.000      11.000
 16   12   28 Mg     27983875.426       0.280
 15   13   28 Al     27981910.009       0.052
 14   14   28 Si     27976926.53442     0.00055
 13   15   28 P      27992326.460       1.231
 12   16   28 S      28004372.762     171.767
 11   17   28 Cl     28030349#        537#
 20    9   29 F      29043103.000     564.000
 19   10   29 Ne     29019753.000     160.500
 18   11   29 Na     29002877.091       7.876
 17   12   29 Mg     28988607.163       0.369
 16   13   29 Al     28980453.164       0.370
 15   14   29 Si     28976494.66434     0.00060
 14   15   29 P      28981800.368       0.385
 13   16   29 S      28996678.000      14.000
 12   17   29 Cl     29015053#        203#
 11   18   29 Ar     29040761#        471#
 21    9   30 F      30052561#        537#
 20   10   30 Ne     30024992.235     271.875
 19   11   30 Na     30009097.931       5.074
 18   12   30 Mg     29990465.454       1.390
 17   13   30 Al     29982969.171       2.077
 16   14   30 Si     29973770.137       0.023
 15   15   30 P      29978313.490       0.069
 14   16   30 S      29984906.770       0.221
 13   17   30 Cl     30005018.333      25.631
 12   18   30 Ar     30023694#        192#
 22    9   31 F      31061023#        574#
 21   10   31 Ne     31033474.816     285.772
 20   11   31 Na     31013146.654      15.000
 19   12   31 Mg     30996648.232       3.300
 18   13   31 Al     30983949.754       2.400
 17   14   31 Si     30975363.196       0.046
 16   15   31 P      30973761.99768     0.00080
 15   16   31 S      30979557.002       0.246
 14   17   31 Cl     30992448.097       3.700
 13   18   31 Ar     31012158#        215#
 12   19   31 K      31036780#        322#
 22   10   32 Ne     32039720#        540#
 21   11   32 Na     32020011.024      40.000
 20   12   32 Mg     31999110.138       3.500
 19   13   32 Al     31988084.338       7.700
 18   14   32 Si     31974151.538       0.320
 17   15   32 P      31973907.643       0.042
 16   16   32 S      31972071.17354     0.00141
 15   17   32 Cl     31985684.605       0.603
 14   18   32 Ar     31997637.824       1.900
 13   19   32 K      32023607#        429#
 23   10   33 Ne     33049523#        644#
 22   11   33 Na     33025529.000     483.000
 21   12   33 Mg     33005327.862       2.859
 20   13   33 Al     32990877.685       7.500
 19   14   33 Si     32977976.964       0.750
 18   15   33 P      32971725.692       1.170
 17   16   33 S      32971458.90862     0.00144
 16   17   33 Cl     32977451.988       0.419
 15   18   33 Ar     32989925.545       0.430
 14   19   33 K      33008095#        215#
 13   20   33 Ca     33033312#        429#
 24   10   34 Ne     34056728#        551#
 23   11   34 Na     34034010.000     643.500
 22   12   34 Mg     34008935.455       7.400
 21   13   34 Al     33996781.924       2.259
 20   14   34 Si     33978538.045       0.860
 19   15   34 P      33973645.886       0.870
 18   16   34 S      33967867.011       0.047
 17   17   34 Cl     33973762.490       0.052
 16   18   34 Ar     33980270.092       0.083
 15   19   34 K      33998690#        210#
 14   20   34 Ca     34015985#        322#
 24   11   35 Na     35040614#        720#
 23   12   35 Mg     35016790.000     289.500
 22   13   35 Al     34999759.816       7.900
 21   14   35 Si     34984550.111      38.494
 20   15   35 P      34973314.045       2.003
 19   16   35 S      34969032.321       0.043
 18   17   35 Cl     34968852.694       0.038
 17   18   35 Ar     34975257.719       0.730
 16   19   35 K      34988005.406       0.550
 15   20   35 Ca     35005572#        215#
 14   21   35 Sc     35029093#        429#
 25   11   36 Na     36049279#        737#
 24   12   36 Mg     36021879.000     741.000
 23   13   36 Al     36006388.000     160.500
 22   14   36 Si     35986649.271      77.077
 21   15   36 P      35978259.610      14.078
 20   16   36 S      35967080.692       0.201
 19   17   36 Cl     35968306.822       0.038
 18   18   36 Ar     35967545.106       0.028
 17   19   36 K      35981301.887       0.349
 16   20   36 Ca     35993074.388      42.941
 15   21   36 Sc     36017338#        322#
 26   11   37 Na     37057042#        737#
 25   12   37 Mg     37030286.265     750.350
 24   13   37 Al     37010531.000     193.500
 23   14   37 Si     36992945.191     122.179
 22   15   37 P      36979606.942      40.738
 21   16   37 S      36971125.500       0.212
 20   17   37 Cl     36965902.573       0.055
 19   18   37 Ar     36966776.301       0.221
 18   19   37 K      36973375.890       0.100
 17   20   37 Ca     36985897.849       0.680
 16   21   37 Sc     37004058#        322#
 15   22   37 Ti     37027021#        429#
 27   11   38 Na     38066458#        768#
 26   12   38 Mg     38036580#        540#
 25   13   38 Al     38017681#        161#
 24   14   38 Si     37995523.000     112.500
 23   15   38 P      37984303.105      77.918
 22   16   38 S      37971163.300       7.699
 21   17   38 Cl     37968010.408       0.105
 20   18   38 Ar     37962732.102       0.209
 19   19   38 K      37969081.114       0.209
 18   20   38 Ca     37976319.223       0.208
 17   21   38 Sc     37995438#        215#
 16   22   38 Ti     38012206#        322#
 28   11   39 Na     39075123#        797#
 27   12   39 Mg     39045921#        551#
 26   13   39 Al     39023070#        322#
 25   14   39 Si     39002491.000     145.500
 24   15   39 P      38986285.865     120.929
 23   16   39 S      38975133.850      53.677
 22   17   39 Cl     38968008.151       1.859
 21   18   39 Ar     38964313.037       5.367
 20   19   39 K      38963706.48482     0.00489
 19   20   39 Ca     38970710.811       0.640
 18   21   39 Sc     38984784.953      25.765
 17   22   39 Ti     39002684#        215#
 16   23   39 V      39024230#        429#
 28   12   40 Mg     40053194#        537#
 27   13   40 Al     40030940#        322#
 26   14   40 Si     40006083.641     130.962
 25   15   40 P      39991262.221      89.755
 24   16   40 S      39975482.561       4.274
 23   17   40 Cl     39970415.466      34.423
 22   18   40 Ar     39962383.12204     0.00234
 21   19   40 K      39963998.165       0.060
 20   20   40 Ca     39962590.850       0.022
 19   21   40 Sc     39977967.275       3.036
 18   22   40 Ti     39990345.146      73.262
 17   23   40 V      40013387#        322#
 29   12   41 Mg     41062373#        537#
 28   13   41 Al     41037134#        429#
 27   14   41 Si     41014171#        322#
 26   15   41 P      40994654.000     129.000
 25   16   41 S      40979593.451       4.400
 24   17   41 Cl     40970684.525      73.777
 23   18   41 Ar     40964500.570       0.372
 22   19   41 K      40961825.25611     0.00403
 21   20   41 Ca     40962277.905       0.147
 20   21   41 Sc     40969251.163       0.083
 19   22   41 Ti     40983148.000      30.000
 18   23   41 V      41000333#        215#
 17   24   41 Cr     41021911#        429#
 29   13   42 Al     42045078#        537#
 28   14   42 Si     42018078#        322#
 27   15   42 P      42001172.140     101.996
 26   16   42 S      41981065.100       3.000
 25   17   42 Cl     41973342.000      64.000
 24   18   42 Ar     41963045.737       6.200
 23   19   42 K      41962402.305       0.113
 22   20   42 Ca     41958617.780       0.159
 21   21   42 Sc     41965516.686       0.165
 20   22   42 Ti     41973049.369       0.289
 19   23   42 V      41991820#        210#
 18   24   42 Cr     42007579#        322#
 30   13   43 Al     43051820#        644#
 29   14   43 Si     43026119#        429#
 28   15   43 P      43005411#        322#
 27   16   43 S      42986907.635       5.335
 26   17   43 Cl     42974063.700      66.407
 25   18   43 Ar     42965636.056       5.700
 24   19   43 K      42960734.701       0.440
 23   20   43 Ca     42958766.381       0.244
 22   21   43 Sc     42961150.425       1.999
 21   22   43 Ti     42968528.420       6.139
 20   23   43 V      42980766.000      46.000
 19   24   43 Cr     42997885#        215#
 18   25   43 Mn     43018647#        429#
 30   14   44 Si     44031466#        537#
 29   15   44 P      44011927#        429#
 28   16   44 S      43990118.846       5.600
 27   17   44 Cl     43978014.918      91.859
 26   18   44 Ar     43964923.814       1.700
 25   19   44 K      43961586.984       0.450
 24   20   44 Ca     43955481.489       0.348
 23   21   44 Sc     43959402.818       1.884
 22   22   44 Ti     43959689.936       0.751
