N    Z    A    Elt.   Mass                        
 36   34   70 Se     69933515.521       1.700
 35   35   70 Br     69944792.321      16.000
 34   36   70 Kr     69955877#        215#
 46   25   71 Mn     70982158#        537#
 45   26   71 Fe     70965722#        429#
 44   27   71 Co     70952366.923     499.230
 43   28   71 Ni     70940518.962       2.401
 42   29   71 Cu     70932676.831       1.600
 41   30   71 Zn     70927719.578       2.849
 40   31   71 Ga     70924702.554       0.870
 39   32   71 Ge     70924952.120       0.874
 38   33   71 As     70927113.594       4.469
 37   34   71 Se     70932209.431       3.000
 36   35   71 Br     70939342.153       5.799
 35   36   71 Kr     70950265.695     138.238
 34   37   71 Rb     70965335#        429#
 47   25   72 Mn     71988009#        644#
 46   26   72 Fe     71968599#        537#
 45   27   72 Co     71956736#        322#
 44   28   72 Ni     71941785.924       2.401
 43   29   72 Cu     71935820.306       1.500
 42   30   72 Zn     71926842.806       2.300
 41   31   72 Ga     71926367.452       0.878
 40   32   72 Ge     71922075.824       0.081
 39   33   72 As     71926752.291       4.383
 38   34   72 Se     71927140.506       2.100
 37   35   72 Br     71936594.606       1.100
 36   36   72 Kr     71942092.406       8.600
 35   37   72 Rb     71958851#        537#
 48   25   73 Mn     72992807#        644#
 47   26   73 Fe     72974246#        537#
 46   27   73 Co     72959238#        322#
 45   28   73 Ni     72946206.681       2.601
 44   29   73 Cu     72936674.376       2.084
 43   30   73 Zn     72929582.580       2.000
 42   31   73 Ga     72925174.680       1.800
 41   32   73 Ge     72923458.954       0.061
 40   33   73 As     72923829.086       4.136
 39   34   73 Se     72926754.881       7.969
 38   35   73 Br     72931673.441       7.237
 37   36   73 Kr     72939289.193       7.061
 36   37   73 Rb     72950604.506      43.794
 35   38   73 Sr     72965700#        430#
 48   26   74 Fe     73977821#        537#
 47   27   74 Co     73963993#        429#
 46   28   74 Ni     73947718#        215#
 45   29   74 Cu     73939874.860       6.600
 44   30   74 Zn     73929407.260       2.700
 43   31   74 Ga     73926945.725       3.214
 42   32   74 Ge     73921177.760       0.013
 41   33   74 As     73923928.596       1.817
 40   34   74 Se     73922475.933       0.015
 39   35   74 Br     73929910.279       6.264
 38   36   74 Kr     73933084.016       2.161
 37   37   74 Rb     73944265.867       3.249
 36   38   74 Sr     73956170#        107#
 49   26   75 Fe     74984219#        644#
 48   27   75 Co     74967192#        429#
 47   28   75 Ni     74952506#        215#
 46   29   75 Cu     74941523.817       0.770
 45   30   75 Zn     74932840.244       2.100
 44   31   75 Ga     74926504.484       0.720
 43   32   75 Ge     74922858.370       0.055
 42   33   75 As     74921594.562       0.948
 41   34   75 Se     74922522.870       0.078
 40   35   75 Br     74925810.566       4.600
 39   36   75 Kr     74930945.744       8.700
 38   37   75 Rb     74938573.200       1.266
 37   38   75 Sr     74949952.767     236.183
 36   39   75 Y      74965840#        322#
 50   26   76 Fe     75988631#        644#
 49   27   76 Co     75972453#        537#
 48   28   76 Ni     75954707#        322#
 47   29   76 Cu     75945268.974       0.980
 46   30   76 Zn     75933114.956       1.562
 45   31   76 Ga     75928827.624       2.100
 44   32   76 Ge     75921402.725       0.019
 43   33   76 As     75922392.011       0.951
 42   34   76 Se     75919213.702       0.017
 41   35   76 Br     75924541.574      10.007
 40   36   76 Kr     75925910.743       4.308
 39   37   76 Rb     75935073.031       1.006
 38   38   76 Sr     75941762.760      37.000
 37   39   76 Y      75958937#        322#
 50   27   77 Co     76976479#        644#
 49   28   77 Ni     76959903#        429#
 48   29   77 Cu     76947543.599       1.300
 47   30   77 Zn     76936887.197       2.117
 46   31   77 Ga     76929154.299       2.600
 45   32   77 Ge     76923549.843       0.056
 44   33   77 As     76920647.555       1.816
 43   34   77 Se     76919914.150       0.067
 42   35   77 Br     76921379.193       3.017
 41   36   77 Kr     76924669.999       2.100
 40   37   77 Rb     76930401.599       1.400
 39   38   77 Sr     76937945.454       8.500
 38   39   77 Y      76950146#        218#
 37   40   77 Zr     76966076#        429#
 51   27   78 Co     77983553#        751#
 50   28   78 Ni     77962555#        429#
 49   29   78 Cu     77951916.524      14.312
 48   30   78 Zn     77938289.204       2.086
 47   31   78 Ga     77931610.854       1.127
 46   32   78 Ge     77922852.911       3.795
 45   33   78 As     77921827.771      10.498
 44   34   78 Se     77917309.244       0.191
 43   35   78 Br     77921145.858       3.842
 42   36   78 Kr     77920366.341       0.329
 41   37   78 Rb     77928141.866       3.475
 40   38   78 Sr     77932179.979       8.000
 39   39   78 Y      77943990#        320#
 38   40   78 Zr     77956146#        429#
 51   28   79 Ni     78969769#        537#
 50   29   79 Cu     78954473.100     112.700
 49   30   79 Zn     78942638.067       2.388
 48   31   79 Ga     78932851.582       1.296
 47   32   79 Ge     78925359.506      39.893
 46   33   79 As     78920948.419       5.716
 45   34   79 Se     78918499.252       0.238
 44   35   79 Br     78918337.574       1.074
 43   36   79 Kr     78920082.919       3.736
 42   37   79 Rb     78923990.095       2.085
 41   38   79 Sr     78929704.692       7.967
 40   39   79 Y      78937946.000      86.000
 39   40   79 Zr     78949790#        322#
 38   41   79 Nb     78966022#        537#
 52   28   80 Ni     79975051#        644#
 51   29   80 Cu     79960623#        322#
 50   30   80 Zn     79944552.929       2.774
 49   31   80 Ga     79936420.773       3.103
 48   32   80 Ge     79925350.773       2.205
 47   33   80 As     79922474.440       3.578
 46   34   80 Se     79916521.761       1.016
 45   35   80 Br     79918529.784       1.065
 44   36   80 Kr     79916377.940       0.745
 43   37   80 Rb     79922516.442       2.000
 42   38   80 Sr     79924517.538       3.718
 41   39   80 Y      79934354.750       6.701
 40   40   80 Zr     79941213#        322#
 39   41   80 Nb     79958754#        429#
 53   28   81 Ni     80982727#        751#
 52   29   81 Cu     80965743#        322#
 51   30   81 Zn     80950402.617       5.400
 50   31   81 Ga     80938133.841       3.503
 49   32   81 Ge     80928832.941       2.205
 48   33   81 As     80922132.288       2.838
 47   34   81 Se     80917993.019       1.049
 46   35   81 Br     80916288.197       1.049
 45   36   81 Kr     80916589.703       1.152
 44   37   81 Rb     80918993.900       5.265
 43   38   81 Sr     80923211.393       3.358
 42   39   81 Y      80929454.283       5.802
 41   40   81 Zr     80938245.000      99.000
 40   41   81 Nb     80950230#        429#
 39   42   81 Mo     80966226#        537#
 54   28   82 Ni     81988492#        859#
 53   29   82 Cu     81972378#        429#
 52   30   82 Zn     81954574.097       3.300
 51   31   82 Ga     81943176.531       2.604
 50   32   82 Ge     81929774.031       2.405
 49   33   82 As     81924738.731       4.003
 48   34   82 Se     81916699.531       0.500
 47   35   82 Br     81916801.752       1.042
 46   36   82 Kr     81913481.15368     0.00591
 45   37   82 Rb     81918209.023       3.230
 44   38   82 Sr     81918399.845       6.432
 43   39   82 Y      81926930.189       5.902
 42   40   82 Zr     81931707.497       1.700
 41   41   82 Nb     81944380#        322#
 40   42   82 Mo     81956661#        429#
 54   29   83 Cu     82978110#        537#
 53   30   83 Zn     82961041#        322#
 52   31   83 Ga     82947120.300       2.804
 51   32   83 Ge     82934539.100       2.604
 50   33   83 As     82925206.900       3.004
 49   34   83 Se     82919118.604       3.259
 48   35   83 Br     82915175.285       4.073
 47   36   83 Kr     82914126.516       0.009
 46   37   83 Rb     82915114.181       2.500
 45   38   83 Sr     82917554.372       7.336
 44   39   83 Y      82922484.026      20.000
 43   40   83 Zr     82929240.926       6.902
 42   41   83 Nb     82938150.000     174.000
 41   42   83 Mo     82950252#        430#
 40   43   83 Tc     82966377#        537#
 55   29   84 Cu     83985271#        537#
 54   30   84 Zn     83965829#        429#
 53   31   84 Ga     83952663.000      32.000
 52   32   84 Ge     83937575.090       3.403
 51   33   84 As     83929303.290       3.403
 50   34   84 Se     83918466.761       2.105
 49   35   84 Br     83916496.417      27.622
 48   36   84 Kr     83911497.72708     0.00410
 47   37   84 Rb     83914375.223       2.355
 46   38   84 Sr     83913419.118       1.334
 45   39   84 Y      83920671.060       4.615
 44   40   84 Zr     83923325.663       5.903
 43   41   84 Nb     83934305.711       0.430
 42   42   84 Mo     83941846#        320#
 41   43   84 Tc     83959527#        429#
 55   30   85 Zn     84973054#        537#
 54   31   85 Ga     84957333.000      40.000
 53   32   85 Ge     84942969.658       4.003
 52   33   85 As     84932163.658       3.304
 51   34   85 Se     84922260.758       2.804
 50   35   85 Br     84915645.758       3.304
 49   36   85 Kr     84912527.260       2.147
 48   37   85 Rb     84911789.73604     0.00537
 47   38   85 Sr     84912932.041       3.020
 46   39   85 Y      84916433.039      20.360
 45   40   85 Zr     84921443.199       6.902
 44   41   85 Nb     84928845.836       4.400
 43   42   85 Mo     84938260.736      17.000
 42   43   85 Tc     84950778#        429#
 41   44   85 Ru     84967117#        537#
 56   30   86 Zn     85978463#        537#
 55   31   86 Ga     85963757#        429#
 54   32   86 Ge     85946967.000     470.000
 53   33   86 As     85936701.532       3.703
 52   34   86 Se     85924311.732       2.705
 51   35   86 Br     85918805.432       3.304
 50   36   86 Kr     85910610.62468     0.00399
 49   37   86 Rb     85911167.443       0.214
 48   38   86 Sr     85909260.72473     0.00563
 47   39   86 Y      85914886.095      15.182
 46   40   86 Zr     85916296.814       3.827
 45   41   86 Nb     85925781.536       5.903
 44   42   86 Mo     85931174.092       3.147
 43   43   86 Tc     85944637#        322#
 42   44   86 Ru     85957305#        429#
 56   31   87 Ga     86969007#        537#
 55   32   87 Ge     86953204#        322#
 54   33   87 As     86940291.716       3.204
 53   34   87 Se     86928688.616       2.405
 52   35   87 Br     86920674.016       3.404
 51   36   87 Kr     86913354.759       0.264
 50   37   87 Rb     86909180.529       0.006
 49   38   87 Sr     86908877.49454     0.00550
 48   39   87 Y      86910876.100       1.210
 47   40   87 Zr     86914817.338       4.450
 46   41   87 Nb     86920692.473       7.302
 45   42   87 Mo     86928196.198       3.067
 44   43   87 Tc     86938067.185       4.500
 43   44   87 Ru     86950907#        429#
 57   31   88 Ga     87975963#        537#
 56   32   88 Ge     87957574#        429#
 55   33   88 As     87945840#        215#
 54   34   88 Se     87931417.490       3.604
 53   35   88 Br     87924083.290       3.404
 52   36   88 Kr     87914447.879       2.800
 51   37   88 Rb     87911315.590       0.170
 50   38   88 Sr     87905612.253       0.006
 49   39   88 Y      87909501.274       1.610
 48   40   88 Zr     87910220.715       5.800
 47   41   88 Nb     87918226.476      62.059
 46   42   88 Mo     87921967.779       4.100
 45   43   88 Tc     87933794.211       4.400
 44   44   88 Ru     87941664#        322#
 43   45   88 Rh     87960429#        429#
 57   32   89 Ge     88964530#        429#
 56   33   89 As     88950048#        322#
 55   34   89 Se     88936669.058       4.003
 54   35   89 Br     88926704.558       3.504
 53   36   89 Kr     88917835.449       2.300
 52   37   89 Rb     88912278.136       5.825
 51   38   89 Sr     88907450.808       0.098
 50   39   89 Y      88905838.156       0.363
 49   40   89 Zr     88908879.751       2.983
 48   41   89 Nb     88913444.696      25.367
 47   42   89 Mo     88919468.149       4.200
 46   43   89 Tc     88927648.649       4.100
 45   44   89 Ru     88937337.849      26.000
 44   45   89 Rh     88950992#        387#
 58   32   90 Ge     89969436#        537#
 57   33   90 As     89955995#        429#
 56   34   90 Se     89940096.000     354.000
 55   35   90 Br     89931292.848       3.604
 54   36   90 Kr     89919527.929       2.000
 53   37   90 Rb     89914797.557       6.926
 52   38   90 Sr     89907727.870       1.555
 51   39   90 Y      89907141.749       0.379
 50   40   90 Zr     89904698.755       0.126
 49   41   90 Nb     89911259.201       3.561
 48   42   90 Mo     89913931.270       3.717
 47   43   90 Tc     89924073.919       1.100
 46   44   90 Ru     89930344.378       4.004
 45   45   90 Rh     89944569#        215#
 44   46   90 Pd     89957370#        429#
 58   33   91 As     90960816#        429#
 57   34   91 Se     90945700.000     465.000
 56   35   91 Br     90934398.617       3.804
 55   36   91 Kr     90923806.309       2.400
 54   37   91 Rb     90916537.261       8.375
 53   38   91 Sr     90910195.942       5.853
 52   39   91 Y      90907298.048       1.978
 51   40   91 Zr     90905640.205       0.101
 50   41   91 Nb     90906990.256       3.140
 49   42   91 Mo     90911745.190       6.696
 48   43   91 Tc     90918424.972       2.536
 47   44   91 Ru     90926741.530       2.384
 46   45   91 Rh     90937123#        320#
 45   46   91 Pd     90950435#        454#
 59   33   92 As     91967386#        537#
 58   34   92 Se     91949840#        429#
 57   35   92 Br     91939631.595       7.202
 56   36   92 Kr     91926173.092       2.900
 55   37   92 Rb     91919728.477       6.573
 54   38   92 Sr     91911038.222       3.675
 53   39   92 Y      91908945.752       9.798
 52   40   92 Zr     91905035.336       0.101
 51   41   92 Nb     91907188.580       1.915
 50   42   92 Mo     91906807.153       0.168
 49   43   92 Tc     91915269.777       3.330
 48   44   92 Ru     91920234.373       2.917
 47   45   92 Rh     91932367.692       4.700
 46   46   92 Pd     91941192.225     370.402
 45   47   92 Ag     91959710#        429#
 59   34   93 Se     92956135#        429#
 58   35   93 Br     92943220.000     462.500
 57   36   93 Kr     92931147.172       2.700
 56   37   93 Rb     92922039.334       8.406
 55   38   93 Sr     92914024.314       8.109
 54   39   93 Y      92909578.434      11.259
 53   40   93 Zr     92906470.661       0.489
 52   41   93 Nb     92906373.170       1.599
 51   42   93 Mo     92906808.772       0.193
 50   43   93 Tc     92910245.147       1.086
 49   44   93 Ru     92917104.442       2.216
 48   45   93 Rh     92925912.778       2.821
 47   46   93 Pd     92936680.426     397.221
 46   47   93 Ag     92950188#        430#
 60   34   94 Se     93960490#        537#
 59   35   94 Br     93948846#        215#
 58   36   94 Kr     93934140.452      13.000
 57   37   94 Rb     93926394.819       2.177
 56   38   94 Sr     93915355.641       1.785
 55   39   94 Y      93911592.062       6.849
 54   40   94 Zr     93906312.523       0.175
 53   41   94 Nb     93907279.001       1.600
 52   42   94 Mo     93905083.586       0.151
 51   43   94 Tc     93909652.319       4.370
 50   44   94 Ru     93911342.860       3.374
 49   45   94 Rh     93921730.450       3.627
 48   46   94 Pd     93929036.286       4.602
 47   47   94 Ag     93943744#        429#
 46   48   94 Cd     93956586#        537#
 61   34   95 Se     94967300#        537#
 60   35   95 Br     94952925#        322#
 59   36   95 Kr     94939710.922      20.000
 58   37   95 Rb     94929263.849      21.733
 57   38   95 Sr     94919358.282       6.237
 56   39   95 Y      94912819.697       7.277
 55   40   95 Zr     94908040.276       0.933
 54   41   95 Nb     94906831.110       0.545
 53   42   95 Mo     94905837.436       0.132
 52   43   95 Tc     94907652.281       5.453
 51   44   95 Ru     94910404.415      10.200
 50   45   95 Rh     94915897.893       4.171
 49   46   95 Pd     94924888.506       3.253
 48   47   95 Ag     94935688#        429#
 47   48   95 Cd     94949483#        607#
 61   35   96 Br     95958980#        322#
 60   36   96 Kr     95943014.473      20.695
 59   37   96 Rb     95934133.398       3.599
 58   38   96 Sr     95921719.045       9.089
 57   39   96 Y      95915909.305       6.521
 56   40   96 Zr     95908277.615       0.122
 55   41   96 Nb     95908101.586       0.157
 54   42   96 Mo     95904674.770       0.128
 53   43   96 Tc     95907866.675       5.524
 52   44   96 Ru     95907588.910       0.182
 51   45   96 Rh     95914451.705      10.737
 50   46   96 Pd     95918213.739       4.502
 49   47   96 Ag     95930743.903      96.708
 48   48   96 Cd     95940341#        440#
 47   49   96 In     95959109#        537#
 62   35   97 Br     96963499#        429#
 61   36   97 Kr     96949088.782     140.000
 60   37   97 Rb     96937177.117       2.052
 59   38   97 Sr     96926375.621       3.633
 58   39   97 Y      96918286.702       7.201
 57   40   97 Zr     96910963.802       0.130
 56   41   97 Nb     96908101.622       4.556
 55   42   97 Mo     96906016.903       0.176
 54   43   97 Tc     96906360.720       4.420
 53   44   97 Ru     96907545.776       2.965
 52   45   97 Rh     96911327.872      38.071
 51   46   97 Pd     96916471.985       5.200
 50   47   97 Ag     96923881.400      12.900
 49   48   97 Cd     96934799.343     451.073
 48   49   97 In     96949125#        430#
 63   35   98 Br     97969887#        429#
 62   36   98 Kr     97952635#        322#
 61   37   98 Rb     97941632.317      17.265
 60   38   98 Sr     97928692.636       3.463
 59   39   98 Y      97922394.841       8.501
 58   40   98 Zr     97912740.448       9.065
 57   41   98 Nb     97910332.645       5.369
 56   42   98 Mo     97905403.609       0.186
 55   43   98 Tc     97907211.206       3.628
 54   44   98 Ru     97905286.709       6.937
 53   45   98 Rh     97910707.734      12.782
 52   46   98 Pd     97912698.335       5.090
 51   47   98 Ag     97921559.970      35.327
 50   48   98 Cd     97927389.315      55.605
 49   49   98 In     97942129#        327#
 63   36   99 Kr     98958776#        429#
 62   37   99 Rb     98945119.190       4.327
 61   38   99 Sr     98932883.604       5.085
 60   39   99 Y      98924160.839       7.101
 59   40   99 Zr     98916675.081      11.271
 58   41   99 Nb     98911609.377      12.886
 57   42   99 Mo     98907707.299       0.245
 56   43   99 Tc     98906249.681       0.974
 55   44   99 Ru     98905930.284       0.368
 54   45   99 Rh     98908121.241      20.881
 53   46   99 Pd     98911773.073       5.482
 52   47   99 Ag     98917645.766       6.725
 51   48   99 Cd     98924925.845       1.700
 50   49   99 In     98934110#        320#
 49   50   99 Sn     98948495#        625#
 64   36  100 Kr     99962995#        429#
 63   37  100 Rb     99950331.532      14.089
 62   38  100 Sr     99935783.270       7.426
 61   39  100 Y      99927727.678      12.000
 60   40  100 Zr     99918010.499       8.742
 59   41  100 Nb     99914340.578       8.562
 58   42  100 Mo     99907467.982       0.322
 57   43  100 Tc     99907652.715       1.450
 56   44  100 Ru     99904210.460       0.367
 55   45  100 Rh     99908114.147      19.458
 54   46  100 Pd     99908520.438      18.934
 53   47  100 Ag     99916115.443       5.367
 52   48  100 Cd     99920348.829       1.800
 51   49  100 In     99931101.929       2.400
 50   50  100 Sn     99938648.944     257.661
 65   36  101 Kr    100969318#        537#
 64   37  101 Rb    100954302.000      22.000
 63   38  101 Sr    100940606.264       9.103
 62   39  101 Y     100930160.817       7.601
 61   40  101 Zr    100921458.454       8.944
 60   41  101 Nb    100915306.508       4.024
 59   42  101 Mo    100910337.648       0.331
 58   43  101 Tc    100907305.271      25.768
 57   44  101 Ru    100905573.086       0.443
 56   45  101 Rh    100906158.903       6.270
 55   46  101 Pd    100908284.824       4.925
 54   47  101 Ag    100912683.951       5.193
 53   48  101 Cd    100918586.209       1.600
 52   49  101 In    100926414.025      12.519
 51   50  101 Sn    100935259.252     322.068
 65   37  102 Rb    101960008.000      89.000
 64   38  102 Sr    101944004.679      72.000
 63   39  102 Y     101934328.471       4.381
 62   40  102 Zr    101923154.181       9.401
 61   41  102 Nb    101918090.447       2.695
 60   42  102 Mo    101910293.725       8.916
 59   43  102 Tc    101909207.239       9.840
 58   44  102 Ru    101904340.312       0.446
 57   45  102 Rh    101906834.282       6.880
 56   46  102 Pd    101905632.292       0.449
 55   47  102 Ag    101911704.538       8.771
 54   48  102 Cd    101914481.797       1.784
 53   49  102 In    101924105.911       4.909
 52   50  102 Sn    101930289.525     107.466
 51   51  102 Sb    101945142#        429#
 66   37  103 Rb    102964401#        429#
 65   38  103 Sr    102949243#        215#
 64   39  103 Y     102937243.796      12.029
 63   40  103 Zr    102927204.054       9.900
 62   41  103 Nb    102919453.416       4.224
 61   42  103 Mo    102913091.954       9.900
 60   43  103 Tc    102909173.960      10.531
 59   44  103 Ru    102906314.846       0.473
 58   45  103 Rh    102905494.081       2.470
 57   46  103 Pd    102906111.074       0.942
 56   47  103 Ag    102908960.558       4.400
 55   48  103 Cd    102913416.922       1.943
 54   49  103 In    102919878.830       9.640
 53   50  103 Sn    102927973#        108#
 52   51  103 Sb    102939162#        322#
 67   37  104 Rb    103970531#        537#
 66   38  104 Sr    103953022#        322#
 65   39  104 Y     103941943#        215#
 64   40  104 Zr    103929449.193      10.000
 63   41  104 Nb    103922907.728       1.915
 62   42  104 Mo    103913747.443       9.566
 61   43  104 Tc    103911433.718      26.716
 60   44  104 Ru    103905425.312       2.682
 59   45  104 Rh    103906645.309       2.471
 58   46  104 Pd    103904030.393       1.434
 57   47  104 Ag    103908623.715       4.527
 56   48  104 Cd    103909856.228       1.795
 55   49  104 In    103918214.538       6.200
 54   50  104 Sn    103923105.195       6.167
 53   51  104 Sb    103936344#        109#
 52   52  104 Te    103946723.408     340.967
 67   38  105 Sr    104959001#        537#
 66   39  105 Y     104945711#        429#
 65   40  105 Zr    104934021.832      13.000
 64   41  105 Nb    104924942.577       4.324
 63   42  105 Mo    104916981.989       9.721
 62   43  105 Tc    104911662.024      37.856
 61   44  105 Ru    104907745.478       2.683
 60   45  105 Rh    104905687.787       2.685
 59   46  105 Pd    104905079.479       1.222
 58   47  105 Ag    104906525.604       4.877
 57   48  105 Cd    104909463.893       1.494
 56   49  105 In    104914502.322      11.000
 55   50  105 Sn    104921268.421       4.263
 54   51  105 Sb    104931276.547      23.431
 53   52  105 Te    104943304.516     322.084
 68   38  106 Sr    105963177#        644#
 67   39  106 Y     105950842#        537#
 66   40  106 Zr    105936930#        215#
 65   41  106 Nb    105928928.505       1.520
 64   42  106 Mo    105918273.231       9.801
 63   43  106 Tc    105914356.674      13.150
 62   44  106 Ru    105907328.181       5.787
 61   45  106 Rh    105907285.879       5.786
 60   46  106 Pd    105903480.287       1.186
 59   47  106 Ag    105906663.499       3.237
 58   48  106 Cd    105906459.791       1.184
 57   49  106 In    105913463.596      13.125
 56   50  106 Sn    105916957.394       5.465
 55   51  106 Sb    105928637.979       8.000
 54   52  106 Te    105937498.521     107.934
 53   53  106 I     105953516#        429#
 69   38  107 Sr    106969672#        751#
 68   39  107 Y     106954943#        537#
 67   40  107 Zr    106942007#        322#
 66   41  107 Nb    106931589.685       8.612
 65   42  107 Mo    106922119.770       9.901
 64   43  107 Tc    106915458.437       9.310
 63   44  107 Ru    106909969.837       9.310
 62   45  107 Rh    106906747.975      12.937
 61   46  107 Pd    106905128.058       1.289
 60   47  107 Ag    106905091.509       2.556
 59   48  107 Cd    106906612.049       1.782
 58   49  107 In    106910287.497      10.363
 57   50  107 Sn    106915713.649       5.700
 56   51  107 Sb    106924150.621       4.452
 55   52  107 Te    106934882#        108#
 54   53  107 I     106946935#        322#
 69   39  108 Y     107960515#        644#
 68   40  108 Zr    107945303#        429#
 67   41  108 Nb    107936075.604       8.844
 66   42  108 Mo    107924047.508       9.901
 65   43  108 Tc    107918493.493       9.413
 64   44  108 Ru    107910185.793       9.318
 63   45  108 Rh    107908715.304      15.026
 62   46  108 Pd    107903891.806       1.189
 61   47  108 Ag    107905950.245       2.563
 60   48  108 Cd    107904183.588       1.205
 59   49  108 In    107909693.654       9.276
 58   50  108 Sn    107911894.290       5.778
 57   51  108 Sb    107922226.731       5.900
 56   52  108 Te    107929380.469       5.808
 55   53  108 I     107943348#        109#
 54   54  108 Xe    107954232.285     407.406
 70   39  109 Y     108965131#        751#
 69   40  109 Zr    108950907#        537#
 68   41  109 Nb    108939141.000     462.500
 67   42  109 Mo    108928438.318      12.000
 66   43  109 Tc    108920254.107      10.380
 65   44  109 Ru    108913323.707       9.612
 64   45  109 Rh    108908749.555       4.336
 63   46  109 Pd    108905950.576       1.195
 62   47  109 Ag    108904755.778       1.381
 61   48  109 Cd    108904986.697       1.649
 60   49  109 In    108907149.679       4.261
 59   50  109 Sn    108911292.857       8.533
 58   51  109 Sb    108918141.203       5.652
 57   52  109 Te    108927304.532       4.704
 56   53  109 I     108938086.022       7.223
 55   54  109 Xe    108950434.955     322.178
 70   40  110 Zr    109954675#        537#
 69   41  110 Nb    109943843.000     900.000
 68   42  110 Mo    109930717.956      26.000
 67   43  110 Tc    109923741.263      10.195
 66   44  110 Ru    109914038.501       9.580
 65   45  110 Rh    109911079.745      19.114
 64   46  110 Pd    109905172.878       0.657
 63   47  110 Ag    109906110.724       1.380
 62   48  110 Cd    109903007.470       0.407
 61   49  110 In    109907170.674      12.402
 60   50  110 Sn    109907844.835      14.790
 59   51  110 Sb    109916854.283       6.400
 58   52  110 Te    109922458.102       7.058
 57   53  110 I     109935085.102      66.494
 56   54  110 Xe    109944258.759     108.415
 71   40  111 Zr    110960837#        644#
 70   41  111 Nb    110947439#        322#
 69   42  111 Mo    110935651.966      13.503
 68   43  111 Tc    110925898.966      11.359
 67   44  111 Ru    110917567.566      10.394
 66   45  111 Rh    110911643.164       7.356
 65   46  111 Pd    110907690.358       0.785
 64   47  111 Ag    110905296.827       1.565
 63   48  111 Cd    110904183.776       0.383
 62   49  111 In    110905107.236       3.675
 61   50  111 Sn    110907741.143       5.728
 60   51  111 Sb    110913218.187       9.500
 59   52  111 Te    110921000.587       6.900
 58   53  111 I     110930269.236       5.103
 57   54  111 Xe    110941470#        124#
 56   55  111 Cs    110953945#        215#
 72   40  112 Zr    111965196#        751#
 71   41  112 Nb    111952689#        322#
 70   42  112 Mo    111938293#        215#
 69   43  112 Tc    111929941.658       5.920
 68   44  112 Ru    111918806.922      10.305
 67   45  112 Rh    111914405.199      47.327
 66   46  112 Pd    111907330.557       7.027
 65   47  112 Ag    111907048.548       2.600
 64   48  112 Cd    111902763.896       0.268
 63   49  112 In    111905538.718       4.563
 62   50  112 Sn    111904824.894       0.315
 61   51  112 Sb    111912399.903      19.140
 60   52  112 Te    111916727.848       9.000
 59   53  112 I     111928004.548      11.000
 58   54  112 Xe    111935559.068       8.891
 57   55  112 Cs    111950172#        124#
 73   40  113 Zr    112971723#        322#
 72   41  113 Nb    112956833#        429#
 71   42  113 Mo    112943478#        322#
 70   43  113 Tc    112932569.032       3.600
 69   44  113 Ru    112922846.729      41.097
 68   45  113 Rh    112915440.212       7.656
 67   46  113 Pd    112910261.912       7.458
 66   47  113 Ag    112906572.865      17.866
 65   48  113 Cd    112904408.105       0.262
 64   49  113 In    112904060.451       0.202
 63   50  113 Sn    112905175.857       1.690
 62   51  113 Sb    112909374.664      18.457
 61   52  113 Te    112915891.000      30.000
 60   53  113 I     112923650.062       8.600
 59   54  113 Xe    112933221.663       7.342
 58   55  113 Cs    112944428.484       9.207
 57   56  113 Ba    112957370#        322#
 73   41  114 Nb    113962469#        537#
 72   42  114 Mo    113946666#        322#
 71   43  114 Tc    113937090.000     465.000
 70   44  114 Ru    113924614.430       3.817
 69   45  114 Rh    113918721.680      76.824
 68   46  114 Pd    113910369.430       7.459
 67   47  114 Ag    113908823.029       4.900
 66   48  114 Cd    113903364.998       0.296
 65   49  114 In    113904916.405       0.323
 64   50  114 Sn    113902780.130       0.031
 63   51  114 Sb    113909289.155      21.226
 62   52  114 Te    113912087.820      26.224
 61   53  114 I     113922018.900      21.500
 60   54  114 Xe    113927980.329      12.000
 59   55  114 Cs    113941292.244      91.323
 58   56  114 Ba    113950718.489     110.227
 74   41  115 Nb    114966849#        537#
 73   42  115 Mo    114952174#        429#
 72   43  115 Tc    114940100#        210#
 71   44  115 Ru    114929033.049      27.016
 70   45  115 Rh    114920311.649       7.857
 69   46  115 Pd    114913659.333      14.543
 68   47  115 Ag    114908767.445      19.611
 67   48  115 Cd    114905437.426       0.699
 66   49  115 In    114903878.772       0.012
 65   50  115 Sn    114903344.695       0.016
 64   51  115 Sb    114906598.000      17.203
 63   52  115 Te    114911902.000      30.000
 62   53  115 I     114918048.000      31.000
 61   54  115 Xe    114926293.943      13.000
 60   55  115 Cs    114935910#        110#
 59   56  115 Ba    114947482#        215#
 75   41  116 Nb    115972914#        322#
 74   42  116 Mo    115955759#        537#
 73   43  116 Tc    115945020#        320#
 72   44  116 Ru    115931219.191       4.000
 71   45  116 Rh    115924062.060      79.261
 70   46  116 Pd    115914297.872       7.659
 69   47  116 Ag    115911386.809       3.500
 68   48  116 Cd    115904763.230       0.172
 67   49  116 In    115905259.992       0.236
 66   50  116 Sn    115901742.825       0.103
 65   51  116 Sb    115906792.732       5.533
 64   52  116 Te    115908465.558      25.986
 63   53  116 I     115916885.513      80.555
 62   54  116 Xe    115921580.955      13.974
 61   55  116 Cs    115933395#        108#
 60   56  116 Ba    115941621#        215#
 59   57  116 La    115957005#        345#
 75   42  117 Mo    116961686#        537#
